================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-08 13:39:27
Trigger Reason: Telemetry MOT:1
Last IMU Calibration: No calibration recorded in this session
Active FW Parameters: Default / Awaiting sync
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-08 13:39:27.052] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.126] [RX] PITCH:0.30,PID_OUT:-37.79,INT:-0.0144,EL:-2025,ER:-1706,VEL:0.0,MOT:1,TILT:25.0,TRIM:-0.000,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.225] [RX] PITCH:0.30,PID_OUT:-33.10,INT:-0.0404,EL:-2025,ER:-1705,VEL:-6.4,MOT:1,TILT:25.0,TRIM:0.127,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.331] [RX] PITCH:-0.03,PID_OUT:-10.93,INT:-0.0540,EL:-2025,ER:-1705,VEL:-1.3,MOT:1,TILT:25.0,TRIM:0.025,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.331] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 13:39:27.427] [RX] PITCH:-0.91,PID_OUT:101.65,INT:-0.0056,EL:-2025,ER:-1705,VEL:-0.2,MOT:1,TILT:25.0,TRIM:0.005,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.428] [RX] SRV:6,39,0.0,0,0
[2026-09-08 13:39:27.525] [RX] PITCH:-2.16,PID_OUT:111.18,INT:0.0236,EL:-2024,ER:-1724,VEL:68.5,MOT:1,TILT:25.0,TRIM:-1.369,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.627] [RX] PITCH:-2.11,PID_OUT:-0.15,INT:0.0915,EL:-2015,ER:-1738,VEL:122.2,MOT:1,TILT:25.0,TRIM:-2.445,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.729] [RX] PITCH:-2.70,PID_OUT:71.68,INT:0.0859,EL:-2008,ER:-1754,VEL:117.2,MOT:1,TILT:25.0,TRIM:-2.345,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.831] [RX] PITCH:-2.83,PID_OUT:65.95,INT:0.0985,EL:-2004,ER:-1775,VEL:111.7,MOT:1,TILT:25.0,TRIM:-2.233,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:27.835] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 13:39:27.921] [RX] PITCH:-2.20,PID_OUT:57.91,INT:0.0985,EL:-2002,ER:-1791,VEL:84.9,MOT:1,TILT:25.0,TRIM:-1.697,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.022] [RX] PITCH:-0.94,PID_OUT:41.68,INT:0.0985,EL:-2002,ER:-1796,VEL:25.4,MOT:1,TILT:25.0,TRIM:-0.508,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.124] [RX] PITCH:0.69,PID_OUT:-75.17,INT:0.0713,EL:-2002,ER:-1796,VEL:5.0,MOT:1,TILT:25.0,TRIM:-0.100,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.222] [RX] PITCH:2.19,PID_OUT:-85.95,INT:0.0167,EL:-2019,ER:-1792,VEL:-87.5,MOT:1,TILT:25.0,TRIM:1.750,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.325] [RX] PITCH:3.27,PID_OUT:-96.09,INT:-0.0462,EL:-2043,ER:-1789,VEL:-125.9,MOT:1,TILT:25.0,TRIM:2.517,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.333] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 13:39:28.423] [RX] PITCH:3.04,PID_OUT:-99.02,INT:-0.0605,EL:-2071,ER:-1786,VEL:-141.1,MOT:1,TILT:25.0,TRIM:2.822,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.426] [RX] SRV:0,39,0.0,0,0
[2026-09-08 13:39:28.524] [RX] PITCH:3.19,PID_OUT:-64.56,INT:-0.0985,EL:-2094,ER:-1780,VEL:-151.0,MOT:1,TILT:25.0,TRIM:3.020,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.621] [RX] PITCH:3.12,PID_OUT:-49.65,INT:-0.0526,EL:-2125,ER:-1773,VEL:-178.1,MOT:1,TILT:25.0,TRIM:3.561,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.722] [RX] PITCH:4.26,PID_OUT:-110.17,INT:-0.0985,EL:-2151,ER:-1768,VEL:-163.3,MOT:1,TILT:25.0,TRIM:3.265,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.826] [RX] PITCH:3.84,PID_OUT:-14.48,INT:-0.0985,EL:-2179,ER:-1756,VEL:-189.5,MOT:1,TILT:25.0,TRIM:3.790,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:28.834] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 13:39:28.921] [RX] PITCH:3.06,PID_OUT:27.64,INT:-0.0980,EL:-2204,ER:-1751,VEL:-155.2,MOT:1,TILT:25.0,TRIM:3.104,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:29.021] [RX] PITCH:0.28,PID_OUT:-5.47,INT:-0.0958,EL:-2215,ER:-1765,VEL:3.2,MOT:1,TILT:25.0,TRIM:-0.064,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:29.118] [RX] PITCH:-1.95,PID_OUT:100.30,INT:0.0223,EL:-2215,ER:-1769,VEL:42.4,MOT:1,TILT:25.0,TRIM:-0.849,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:29.221] [RX] PITCH:-3.08,PID_OUT:154.08,INT:0.0424,EL:-2208,ER:-1790,VEL:103.8,MOT:1,TILT:25.0,TRIM:-2.076,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:29.330] [RX] PITCH:-3.81,PID_OUT:35.02,INT:0.0985,EL:-2193,ER:-1814,VEL:183.5,MOT:1,TILT:25.0,TRIM:-3.670,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:39:29.331] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
