================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-10 22:22:57
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -2.4097° (calibrated at 2026-09-10 22:22:36)
Active FW Parameters: pitchOffset=-2.4097
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-10 22:22:57.820] [RX] Motors ENABLED
[2026-09-10 22:22:57.891] [RX] PITCH:3.43,PID_OUT:-286.50,INT:-0.0910,EL:-3,ER:4,VEL:-51.4,MOT:1,TILT:25.0,TRIM:0.155,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:57.899] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:22:57.992] [RX] PITCH:-2.22,PID_OUT:115.81,INT:0.0095,EL:-26,ER:17,VEL:-62.8,MOT:1,TILT:25.0,TRIM:0.215,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:57.992] [RX] SRV:0,33,0.0,0,0
[2026-09-10 22:22:58.087] [RX] PITCH:1.20,PID_OUT:-97.02,INT:0.0494,EL:-30,ER:-3,VEL:-3.4,MOT:1,TILT:25.0,TRIM:0.030,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.187] [RX] PITCH:0.99,PID_OUT:-35.93,INT:-0.0511,EL:-59,ER:-1,VEL:-133.1,MOT:1,TILT:25.0,TRIM:0.431,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.287] [RX] PITCH:-0.04,PID_OUT:-2.13,INT:-0.0404,EL:-73,ER:-1,VEL:-67.0,MOT:1,TILT:25.0,TRIM:0.249,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.389] [RX] PITCH:0.14,PID_OUT:-4.89,INT:-0.0168,EL:-91,ER:-2,VEL:-82.1,MOT:1,TILT:25.0,TRIM:0.306,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.396] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:22:58.487] [RX] PITCH:0.11,PID_OUT:0.17,INT:-0.0149,EL:-91,ER:-2,VEL:-16.2,MOT:1,TILT:25.0,TRIM:0.114,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.584] [RX] PITCH:-0.40,PID_OUT:73.58,INT:0.0071,EL:-91,ER:-2,VEL:-3.2,MOT:1,TILT:25.0,TRIM:0.076,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.686] [RX] PITCH:-1.16,PID_OUT:137.22,INT:0.0940,EL:-88,ER:-14,VEL:78.2,MOT:1,TILT:25.0,TRIM:-0.172,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.786] [RX] PITCH:-0.92,PID_OUT:85.00,INT:0.0985,EL:-77,ER:-36,VEL:155.7,MOT:1,TILT:25.0,TRIM:-0.423,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.893] [RX] PITCH:-0.72,PID_OUT:73.35,INT:0.0985,EL:-66,ER:-62,VEL:183.2,MOT:1,TILT:25.0,TRIM:-0.531,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.897] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:22:58.989] [RX] PITCH:-1.34,PID_OUT:109.91,INT:0.0985,EL:-57,ER:-85,VEL:165.6,MOT:1,TILT:25.0,TRIM:-0.504,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:58.991] [RX] SRV:14,33,0.0,0,0
[2026-09-10 22:22:59.086] [RX] PITCH:-1.20,PID_OUT:75.78,INT:0.0985,EL:-48,ER:-109,VEL:160.6,MOT:1,TILT:25.0,TRIM:-0.514,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.187] [RX] PITCH:-0.79,PID_OUT:26.41,INT:0.0985,EL:-40,ER:-139,VEL:189.1,MOT:1,TILT:25.0,TRIM:-0.626,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.284] [RX] PITCH:0.02,PID_OUT:-12.66,INT:0.0812,EL:-45,ER:-159,VEL:91.8,MOT:1,TILT:25.0,TRIM:-0.353,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.387] [RX] PITCH:0.87,PID_OUT:-75.48,INT:0.0133,EL:-57,ER:-165,VEL:-20.3,MOT:1,TILT:25.0,TRIM:-0.022,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.395] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:22:59.485] [RX] PITCH:0.84,PID_OUT:-64.49,INT:-0.0669,EL:-85,ER:-162,VEL:-126.5,MOT:1,TILT:25.0,TRIM:0.311,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.586] [RX] PITCH:0.20,PID_OUT:-30.82,INT:-0.0769,EL:-109,ER:-160,VEL:-121.8,MOT:1,TILT:25.0,TRIM:0.317,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.685] [RX] PITCH:0.13,PID_OUT:-27.15,INT:-0.0540,EL:-136,ER:-160,VEL:-126.1,MOT:1,TILT:25.0,TRIM:0.350,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.789] [RX] PITCH:0.26,PID_OUT:-63.13,INT:-0.0612,EL:-136,ER:-160,VEL:-24.8,MOT:1,TILT:25.0,TRIM:0.054,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.886] [RX] PITCH:0.18,PID_OUT:-35.45,INT:-0.0767,EL:-155,ER:-160,VEL:-132.0,MOT:1,TILT:25.0,TRIM:0.381,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.895] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:22:59.984] [RX] PITCH:0.06,PID_OUT:-54.18,INT:-0.0696,EL:-155,ER:-160,VEL:-26.0,MOT:1,TILT:25.0,TRIM:0.072,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:22:59.987] [RX] SRV:1,34,0.0,0,0
[2026-09-10 22:23:00.085] [RX] PITCH:0.06,PID_OUT:-53.81,INT:-0.0731,EL:-155,ER:-159,VEL:-9.0,MOT:1,TILT:25.0,TRIM:0.023,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.185] [RX] PITCH:-0.04,PID_OUT:-52.77,INT:-0.0708,EL:-155,ER:-158,VEL:-4.2,MOT:1,TILT:25.0,TRIM:0.010,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.283] [RX] PITCH:0.05,PID_OUT:-56.92,INT:-0.0702,EL:-155,ER:-157,VEL:-3.2,MOT:1,TILT:25.0,TRIM:0.008,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.394] [RX] PITCH:0.03,PID_OUT:-62.00,INT:-0.0742,EL:-155,ER:-157,VEL:-0.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.394] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:23:00.482] [RX] PITCH:0.02,PID_OUT:-67.49,INT:-0.0790,EL:-155,ER:-157,VEL:-0.1,MOT:1,TILT:25.0,TRIM:-0.001,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.582] [RX] PITCH:0.09,PID_OUT:-85.51,INT:-0.0803,EL:-155,ER:-157,VEL:-0.0,MOT:1,TILT:25.0,TRIM:-0.001,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.683] [RX] PITCH:0.45,PID_OUT:-84.42,INT:-0.0933,EL:-175,ER:-156,VEL:-87.4,MOT:1,TILT:25.0,TRIM:0.269,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.784] [RX] PITCH:0.35,PID_OUT:-64.47,INT:-0.0985,EL:-186,ER:-156,VEL:-59.8,MOT:1,TILT:25.0,TRIM:0.197,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.889] [RX] PITCH:-0.08,PID_OUT:-5.86,INT:-0.0782,EL:-211,ER:-156,VEL:-120.1,MOT:1,TILT:25.0,TRIM:0.391,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.893] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-10 22:23:00.987] [RX] PITCH:-0.26,PID_OUT:11.15,INT:-0.0238,EL:-221,ER:-156,VEL:-52.6,MOT:1,TILT:25.0,TRIM:0.202,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-10 22:23:00.988] [RX] SRV:6,34,0.0,0,0
