================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-08 18:00:41
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -1.7055° (calibrated at 2026-09-08 18:00:40)
Active FW Parameters: pitchOffset=-1.7055
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-08 18:00:41.771] [RX] Motors ENABLED
[2026-09-08 18:00:41.864] [RX] PITCH:0.62,PID_OUT:-42.40,INT:0.0000,EL:0,ER:1,VEL:-4.6,MOT:1,TILT:25.0,TRIM:0.014,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 18:00:41.877] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 18:00:41.962] [RX] PITCH:0.62,PID_OUT:-43.07,INT:0.0000,EL:0,ER:1,VEL:-0.9,MOT:1,TILT:25.0,TRIM:0.003,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 18:00:42.066] [RX] PITCH:0.64,PID_OUT:-45.83,INT:0.0000,EL:0,ER:1,VEL:-0.2,MOT:1,TILT:25.0,TRIM:0.001,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 18:00:42.154] [RX] PITCH:0.62,PID_OUT:-43.97,INT:0.0000,EL:0,ER:1,VEL:-0.0,MOT:1,TILT:25.0,TRIM:0.001,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
