================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-08 09:35:08
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -0.0995° (calibrated at 2026-09-08 09:35:07)
Active FW Parameters: Kp=78.0, Ki=650.0, Kd=3.52, pitchOffset=-0.0995, targetAngle=0.0, alpha=0.96, maxSafeTilt=25.0, Ki_trim=0.001, crouchOffset=0.0
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-08 09:35:08.849] [RX] Motors ENABLED
[2026-09-08 09:35:08.937] [RX] PITCH:0.91,PID_OUT:0.00,INT:0.0000,EL:0,ER:0,VEL:0.0,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:08.946] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 09:35:09.004] [RX] CAL:DONE,OFFSET:0.1653
[2026-09-08 09:35:09.041] [RX] PITCH:0.00,PID_OUT:-7.01,INT:0.0000,EL:0,ER:0,VEL:0.0,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.141] [RX] PITCH:0.16,PID_OUT:-25.52,INT:-0.0097,EL:-69,ER:0,VEL:-336.9,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.239] [RX] PITCH:0.27,PID_OUT:-52.69,INT:-0.0321,EL:-169,ER:0,VEL:-467.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.337] [RX] PITCH:0.39,PID_OUT:-81.80,INT:-0.0668,EL:-175,ER:0,VEL:-102.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.444] [RX] PITCH:0.28,PID_OUT:-81.84,INT:-0.1036,EL:-197,ER:0,VEL:-101.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.452] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 09:35:09.541] [RX] PITCH:-0.07,PID_OUT:-60.47,INT:-0.1127,EL:-227,ER:0,VEL:-135.9,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.542] [RX] SRV:14,36,0.0,0,0
[2026-09-08 09:35:09.633] [RX] PITCH:-0.37,PID_OUT:-30.90,INT:-0.0858,EL:-254,ER:0,VEL:-159.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.738] [RX] PITCH:-0.29,PID_OUT:-17.74,INT:-0.0530,EL:-257,ER:0,VEL:-36.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.836] [RX] PITCH:-0.40,PID_OUT:19.33,INT:-0.0190,EL:-257,ER:0,VEL:-7.2,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.941] [RX] PITCH:-0.77,PID_OUT:80.32,INT:0.0381,EL:-256,ER:0,VEL:6.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:09.946] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 09:35:10.034] [RX] PITCH:-0.28,PID_OUT:29.37,INT:0.1009,EL:-252,ER:-26,VEL:114.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:10.136] [RX] PITCH:0.73,PID_OUT:-35.01,INT:0.0658,EL:-255,ER:-32,VEL:24.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:10.231] [RX] PITCH:0.73,PID_OUT:-79.77,INT:-0.0059,EL:-255,ER:-32,VEL:4.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:10.338] [RX] PITCH:0.63,PID_OUT:-90.88,INT:-0.0786,EL:-272,ER:-29,VEL:-95.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:10.444] [RX] PITCH:0.18,PID_OUT:-77.54,INT:-0.1147,EL:-300,ER:-23,VEL:-154.4,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 09:35:10.444] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
