================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-08 13:35:06
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -1.2910° (calibrated at 2026-09-08 13:34:49)
Active FW Parameters: pitchOffset=-1.291
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-08 13:35:06.257] [RX] Motors ENABLED
[2026-09-08 13:35:06.325] [RX] PITCH:4.20,PID_OUT:-397.75,INT:-0.0985,EL:-9,ER:7,VEL:-110.2,MOT:1,TILT:25.0,TRIM:0.333,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:35:06.428] [RX] PITCH:-1.42,PID_OUT:281.12,INT:-0.0492,EL:-67,ER:39,VEL:-328.4,MOT:1,TILT:25.0,TRIM:1.037,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:35:06.528] [RX] PITCH:3.60,PID_OUT:-278.74,INT:-0.0399,EL:-55,ER:28,VEL:-44.8,MOT:1,TILT:25.0,TRIM:0.193,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-08 13:35:06.536] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-08 13:35:06.625] [RX] PITCH:-2.11,PID_OUT:356.00,INT:-0.0409,EL:-96,ER:51,VEL:-195.0,MOT:1,TILT:25.0,TRIM:0.679,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
