================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-07 22:23:30
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -0.4967° (calibrated at 2026-09-07 22:23:26)
Active FW Parameters: pitchOffset=-0.4967
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-07 22:23:30.240] [RX] Motors ENABLED
[2026-09-07 22:23:30.327] [RX] PITCH:0.95,PID_OUT:-74.27,INT:0.0000,EL:-7,ER:0,VEL:-49.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 22:23:30.327] [RX] SRV:1,37,0.0
[2026-09-07 22:23:30.424] [RX] PITCH:0.41,PID_OUT:-32.28,INT:0.0000,EL:-29,ER:2,VEL:-110.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 22:23:30.525] [RX] PITCH:0.21,PID_OUT:-16.56,INT:0.0000,EL:-29,ER:2,VEL:-21.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 22:23:30.625] [RX] PITCH:-0.15,PID_OUT:11.33,INT:0.0000,EL:-29,ER:2,VEL:-4.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 22:23:30.727] [RX] PITCH:-0.53,PID_OUT:40.98,INT:0.0000,EL:-29,ER:2,VEL:-0.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 22:23:30.734] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
