================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-07 23:37:39
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -0.4988° (calibrated at 2026-09-07 23:34:43)
Active FW Parameters: pitchOffset=-0.4988, Kp=94.9, Ki=843.5, Kd=3.1, targetAngle=0.0, alpha=0.96, maxSafeTilt=25.0, Ki_trim=0.001, crouchOffset=0.0
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-07 23:37:39.985] [RX] Motors ENABLED
[2026-09-07 23:37:40.049] [RX] PITCH:4.01,PID_OUT:-376.99,INT:-0.1148,EL:-3,ER:2,VEL:-35.2,MOT:1,TILT:25.0,TRIM:0.001,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:37:40.155] [RX] PITCH:-5.07,PID_OUT:313.90,INT:-0.0079,EL:-27,ER:21,VEL:-106.4,MOT:1,TILT:25.0,TRIM:0.018,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:37:40.158] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:37:40.254] [RX] PITCH:3.38,PID_OUT:-107.25,INT:-0.0754,EL:-15,ER:3,VEL:18.1,MOT:1,TILT:25.0,TRIM:0.010,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:37:40.254] [RX] SRV:6,40,0.0
[2026-09-07 23:37:40.350] [RX] PITCH:-2.57,PID_OUT:-31.33,INT:0.1060,EL:-23,ER:1,VEL:68.5,MOT:1,TILT:25.0,TRIM:0.016,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:37:40.452] [RX] PITCH:1.04,PID_OUT:78.51,INT:-0.0514,EL:-24,ER:-10,VEL:-26.4,MOT:1,TILT:25.0,TRIM:0.006,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:37:40.553] [RX] PITCH:-0.11,PID_OUT:-136.61,INT:0.0793,EL:-29,ER:-14,VEL:46.3,MOT:1,TILT:25.0,TRIM:0.010,ATE:1,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
