================================================================================
SERIAL MONITOR BACKUP LOG
Port: COM13 | Baud: 115200
Session Started: 2026-09-07 23:35:33
Trigger Reason: Motors ENABLED
Last IMU Calibration: Offset: -0.4988° (calibrated at 2026-09-07 23:34:43)
Active FW Parameters: pitchOffset=-0.4988
================================================================================
[Timestamp]                [Dir]  Payload
--------------------------------------------------------------------------------
[2026-09-07 23:35:33.580] [RX] Motors ENABLED
[2026-09-07 23:35:33.643] [RX] PITCH:-0.05,PID_OUT:3.61,INT:0.0000,EL:-8,ER:0,VEL:-55.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:33.654] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:33.746] [RX] PITCH:-0.07,PID_OUT:5.60,INT:0.0000,EL:-40,ER:0,VEL:-140.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:33.839] [RX] PITCH:-0.04,PID_OUT:3.06,INT:0.0000,EL:-61,ER:0,VEL:-144.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:33.944] [RX] PITCH:-0.32,PID_OUT:24.57,INT:0.0000,EL:-72,ER:0,VEL:-53.9,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.046] [RX] PITCH:-1.20,PID_OUT:93.31,INT:0.0000,EL:-72,ER:0,VEL:-10.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.149] [RX] PITCH:-1.68,PID_OUT:130.80,INT:0.0000,EL:-67,ER:-22,VEL:107.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.156] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:34.248] [RX] PITCH:-0.18,PID_OUT:14.08,INT:0.0000,EL:-53,ER:-54,VEL:198.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.248] [RX] SRV:14,38,0.0
[2026-09-07 23:35:34.345] [RX] PITCH:-0.26,PID_OUT:19.94,INT:0.0000,EL:-46,ER:-63,VEL:94.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.440] [RX] PITCH:-2.39,PID_OUT:186.48,INT:0.0000,EL:-41,ER:-81,VEL:115.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.542] [RX] PITCH:1.50,PID_OUT:-117.35,INT:0.0000,EL:-23,ER:-111,VEL:199.2,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.648] [RX] PITCH:-2.04,PID_OUT:159.03,INT:0.0000,EL:-43,ER:-96,VEL:-172.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.654] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:34.747] [RX] PITCH:-0.43,PID_OUT:33.88,INT:0.0000,EL:-25,ER:-119,VEL:237.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.845] [RX] PITCH:6.88,PID_OUT:-536.97,INT:0.0000,EL:-18,ER:-130,VEL:-8.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:34.947] [RX] PITCH:-9.02,PID_OUT:703.90,INT:0.0000,EL:-75,ER:-84,VEL:-347.0,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.040] [RX] PITCH:5.50,PID_OUT:-428.96,INT:0.0000,EL:-43,ER:-119,VEL:225.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.157] [RX] PITCH:-2.63,PID_OUT:205.20,INT:0.0000,EL:-74,ER:-96,VEL:-248.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.157] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:35.248] [RX] PITCH:-2.91,PID_OUT:226.84,INT:0.0000,EL:-65,ER:-112,VEL:160.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.248] [RX] SRV:1,39,0.0
[2026-09-07 23:35:35.339] [RX] PITCH:6.94,PID_OUT:-541.61,INT:0.0000,EL:-47,ER:-136,VEL:80.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.442] [RX] PITCH:-8.86,PID_OUT:690.77,INT:0.0000,EL:-99,ER:-97,VEL:-297.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.544] [RX] PITCH:4.33,PID_OUT:-338.11,INT:0.0000,EL:-58,ER:-143,VEL:345.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.646] [RX] PITCH:1.65,PID_OUT:-128.64,INT:0.0000,EL:-78,ER:-126,VEL:-191.4,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.656] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:35.739] [RX] PITCH:-5.60,PID_OUT:436.88,INT:0.0000,EL:-99,ER:-111,VEL:-56.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.844] [RX] PITCH:7.76,PID_OUT:-605.18,INT:0.0000,EL:-60,ER:-151,VEL:235.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:35.940] [RX] PITCH:-7.30,PID_OUT:569.58,INT:0.0000,EL:-106,ER:-112,VEL:-310.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.046] [RX] PITCH:0.72,PID_OUT:-56.19,INT:0.0000,EL:-76,ER:-147,VEL:289.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.154] [RX] PITCH:3.86,PID_OUT:-301.30,INT:0.0000,EL:-78,ER:-152,VEL:-50.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.157] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:36.249] [RX] PITCH:-6.57,PID_OUT:512.78,INT:0.0000,EL:-113,ER:-132,VEL:-129.2,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.250] [RX] SRV:6,39,0.0
[2026-09-07 23:35:36.347] [RX] PITCH:8.32,PID_OUT:-648.82,INT:0.0000,EL:-72,ER:-175,VEL:272.4,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.446] [RX] PITCH:-3.35,PID_OUT:261.40,INT:0.0000,EL:-122,ER:-133,VEL:-386.6,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.540] [RX] PITCH:-4.54,PID_OUT:353.81,INT:0.0000,EL:-119,ER:-141,VEL:84.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.656] [RX] PITCH:7.97,PID_OUT:-621.92,INT:0.0000,EL:-90,ER:-177,VEL:168.0,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.656] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:36.746] [RX] PITCH:-7.91,PID_OUT:617.17,INT:0.0000,EL:-148,ER:-132,VEL:-386.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.848] [RX] PITCH:-0.40,PID_OUT:30.86,INT:0.0000,EL:-119,ER:-165,VEL:269.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:36.945] [RX] PITCH:5.71,PID_OUT:-445.44,INT:0.0000,EL:-109,ER:-179,VEL:18.3,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.041] [RX] PITCH:-8.46,PID_OUT:660.13,INT:0.0000,EL:-157,ER:-144,VEL:-252.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.146] [RX] PITCH:6.38,PID_OUT:-497.70,INT:0.0000,EL:-112,ER:-193,VEL:360.9,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.155] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:37.174] [TX] D3.2
[2026-09-07 23:35:37.228] [RX] Updated -> P:78.000 I:0.000 D:3.200 Offset:-0.4988 Target:0.000 Alpha:0.9600 Tilt:25.00 TrimGain:0.0010 Crouch:0.00
[2026-09-07 23:35:37.228] [RX] SRV:0,39,0.0
[2026-09-07 23:35:37.345] [RX] PITCH:-4.83,PID_OUT:68.95,INT:0.0000,EL:-153,ER:-166,VEL:-6.5,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.444] [RX] PITCH:-0.57,PID_OUT:171.01,INT:0.0000,EL:-147,ER:-177,VEL:4.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.540] [RX] PITCH:0.11,PID_OUT:9.69,INT:0.0000,EL:-146,ER:-179,VEL:8.9,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.650] [RX] PITCH:-0.78,PID_OUT:62.13,INT:0.0000,EL:-146,ER:-179,VEL:1.7,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.650] [RX] AX12:MODE:0,TQ:1,TL:1023,CM:1,CS:4,MS:0,MT:800
[2026-09-07 23:35:37.744] [TX] D3.3000000000000003
[2026-09-07 23:35:37.744] [RX] PITCH:-0.73,PID_OUT:43.46,INT:0.0000,EL:-144,ER:-202,VEL:96.4,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.805] [RX] Updated -> P:78.000 I:0.000 D:3.300 Offset:-0.4988 Target:0.000 Alpha:0.9600 Tilt:25.00 TrimGain:0.0010 Crouch:0.00
[2026-09-07 23:35:37.833] [RX] PITCH:-0.78,PID_OUT:53.90,INT:0.0000,EL:-143,ER:-202,VEL:21.0,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:37.946] [RX] PITCH:-0.88,PID_OUT:58.84,INT:0.0000,EL:-143,ER:-202,VEL:4.1,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
[2026-09-07 23:35:38.037] [RX] PITCH:-0.79,PID_OUT:53.89,INT:0.0000,EL:-143,ER:-202,VEL:0.8,MOT:1,TILT:25.0,TRIM:0.000,ATE:0,LATCH:0,TORQ:1,CR:0.0,FX1:1.00,FY1:-151.10,FX2:-6.00,FY2:-149.60,IK1:1,IK2:1,MOVE:0
